,name,type,x,y,geometry
0,Centrum/Eurowerft,bus_stop,7.0060146,52.3751257,POINT (7.0060146 52.3751257)
1,Station Kennispark,bus_stop,6.8408265,52.2384501,POINT (6.8408265 52.2384501)
2,Capitool,bus_stop,6.8447361,52.2361895,POINT (6.8447361 52.2361895)
3,Papenblik,bus_stop,6.1565527,52.2628127,POINT (6.1565527 52.2628127)
4,Frieswijk,bus_stop,6.1880595,52.2899974,POINT (6.1880595 52.2899974)
5,Abdij Sion,bus_stop,6.2023186,52.3062738,POINT (6.2023186 52.3062738)
6,Abdij Sion,bus_stop,6.2033067,52.3069412,POINT (6.2033067 52.3069412)
7,Broeklanderweg,bus_stop,6.2187442,52.3442018,POINT (6.2187442 52.3442018)
8,Broeklanderweg,bus_stop,6.2218730,52.3452811,POINT (6.221873 52.3452811)
9,Pleegsterhalte,bus_stop,6.2363068,52.3513643,POINT (6.2363068 52.3513643)
10,Pleegsterhalte,bus_stop,6.2382938,52.3521681,POINT (6.2382938 52.3521681)
11,Van Rossum,bus_stop,6.2467445,52.3564778,POINT (6.2467445 52.3564778)
12,Van Rossum,bus_stop,6.2487882,52.3573046,POINT (6.2487882 52.3573046)
13,Hoogspanningsgebouw,bus_stop,6.2545827,52.3605086,POINT (6.2545827 52.3605086)
14,Hoogspanningsgebouw,bus_stop,6.2561750,52.3612871,POINT (6.256175 52.3612871)
15,De Heuvel,bus_stop,6.2613091,52.3645320,POINT (6.2613091 52.364532)
16,De Heuvel,bus_stop,6.2603496,52.3640973,POINT (6.2603496 52.3640973)
17,Jupiterstraat,bus_stop,6.8495469,52.2338748,POINT (6.8495469 52.2338748)
18,Winkelcentrum Twekkelerveld,bus_stop,6.8574940,52.2294830,POINT (6.857494 52.229483)
19,Winkelcentrum Twekkelerveld,bus_stop,6.8578179,52.2295597,POINT (6.8578179 52.2295597)
20,Gemeentehuis,bus_stop,6.4629699,52.3633771,POINT (6.4629699 52.3633771)
21,Klaas de Rookstraat,bus_stop,6.8186960,52.2848840,POINT (6.818696 52.284884)
22,Winkelcentrum Hasselo,bus_stop,6.8288033,52.2828619,POINT (6.8288033 52.2828619)
23,Bruninkshoek,bus_stop,6.8337058,52.2831841,POINT (6.8337058 52.2831841)
24,Denekamperstraat,bus_stop,6.9002491,52.4103858,POINT (6.9002491 52.4103858)
25,Molenstraat,bus_stop,6.8980227,52.4092208,POINT (6.8980227 52.4092208)
26,Stobbenkamp,bus_stop,6.8953647,52.4055465,POINT (6.8953647 52.4055465)
27,Stobbenkamp,bus_stop,6.8953806,52.4052351,POINT (6.8953806 52.4052351)
28,Wolfsbree,bus_stop,6.8970255,52.4035311,POINT (6.8970255 52.4035311)
29,Wolfsbree,bus_stop,6.8969044,52.4034227,POINT (6.8969044 52.4034227)
30,Kleinesweg,bus_stop,6.9009067,52.3985706,POINT (6.9009067 52.3985706)
31,Kleinesweg,bus_stop,6.9006451,52.3996335,POINT (6.9006451 52.3996335)
32,Voortsweg,bus_stop,6.9001271,52.3823803,POINT (6.9001271 52.3823803)
33,Voortsweg,bus_stop,6.9004393,52.3831488,POINT (6.9004393 52.3831488)
34,Almelosestraat,bus_stop,6.8927138,52.4091758,POINT (6.8927138 52.4091758)
35,Nijlandsweg,bus_stop,6.6957292,52.2458375,POINT (6.6957292 52.2458375)
36,Nijlandsweg,bus_stop,6.6950109,52.2449852,POINT (6.6950109 52.2449852)
37,Nieuwe Deventerweg/Ittersumallee,bus_stop,6.1074038,52.4913222,POINT (6.1074038 52.4913222)
38,Nieuwe Deventerweg,bus_stop,6.1090034,52.4900298,POINT (6.1090034 52.4900298)
39,Zuster v.d. Kolkstraat,bus_stop,6.1041383,52.4976003,POINT (6.1041383 52.4976003)
40,Viaduct Graven Es,bus_stop,6.9219205,52.3172374,POINT (6.9219205 52.3172374)
41,Viaduct Graven Es,bus_stop,6.9219296,52.3174098,POINT (6.9219296 52.3174098)
42,Grotestraat,bus_stop,6.9244517,52.3543335,POINT (6.9244517 52.3543335)
43,Grotestraat,bus_stop,6.9239565,52.3549019,POINT (6.9239565 52.3549019)
44,De Weeldbaan,bus_stop,6.9281133,52.3508872,POINT (6.9281133 52.3508872)
45,De Weeldbaan,bus_stop,6.9278974,52.3509440,POINT (6.9278974 52.350944)
46,Tramweg,bus_stop,6.9331791,52.3454572,POINT (6.9331791 52.3454572)
47,Tramweg,bus_stop,6.9335191,52.3442483,POINT (6.9335191 52.3442483)
48,Kevelhamlaan,bus_stop,6.5801968,52.2267628,POINT (6.5801968 52.2267628)
49,Wetermansweg,bus_stop,6.1491123,52.2847545,POINT (6.1491123 52.2847545)
50,Centrum,bus_stop,6.1452029,52.2901171,POINT (6.1452029 52.2901171)
51,Europalaan,bus_stop,6.7013527,52.2554959,POINT (6.7013527 52.2554959)
52,Europalaan,bus_stop,6.7016549,52.2560770,POINT (6.7016549 52.256077)
53,Het Wooldrik,bus_stop,6.7368956,52.3025761,POINT (6.7368956 52.3025761)
54,De Rustende Jager,bus_stop,6.6926171,52.2406688,POINT (6.6926171 52.2406688)
55,Onder de linden,bus_stop,7.0108653,52.3801110,POINT (7.0108653 52.380111)
56,Bolscher,bus_stop,6.8261044,52.4334217,POINT (6.8261044 52.4334217)
57,R.K. Kerk,bus_stop,6.8331579,52.4338083,POINT (6.8331579 52.4338083)
58,R.K. Kerk,bus_stop,6.8332583,52.4337349,POINT (6.8332583 52.4337349)
59,Schapendijk,bus_stop,6.5364182,52.3034127,POINT (6.5364182 52.3034127)
60,Reggesteyn/Cattelaar,bus_stop,6.5405826,52.3006985,POINT (6.5405826 52.3006985)
61,Kalheupinklaan,bus_stop,6.9415556,52.3173783,POINT (6.9415556 52.3173783)
62,Hanhofweg,bus_stop,6.9810702,52.3190701,POINT (6.9810702 52.3190701)
63,Helmerink,bus_stop,6.4656126,52.3548896,POINT (6.4656126 52.3548896)
64,Helmerink,bus_stop,6.4654612,52.3554355,POINT (6.4654612 52.3554355)
65,IJsselbrug,bus_stop,5.9167123,52.5595073,POINT (5.9167123 52.5595073)
66,IJsselbrug,bus_stop,5.9167437,52.5595772,POINT (5.9167437 52.5595772)
67,IJsselbrug,bus_stop,5.9184300,52.5582535,POINT (5.91843 52.5582535)
68,IJsselbrug,bus_stop,5.9180970,52.5585573,POINT (5.918097 52.5585573)
69,Koornmarkt,bus_stop,5.9216319,52.5557226,POINT (5.9216319 52.5557226)
70,Troelstralaan,bus_stop,6.1125905,52.4866083,POINT (6.1125905 52.4866083)
71,Troelstralaan,bus_stop,6.1129797,52.4863408,POINT (6.1129797 52.4863408)
72,Zwarteweg,bus_stop,6.1050082,52.4933329,POINT (6.1050082 52.4933329)
73,Zwarteweg,bus_stop,6.1051318,52.4939894,POINT (6.1051318 52.4939894)
74,Hollewandsweg,bus_stop,6.1165709,52.4828652,POINT (6.1165709 52.4828652)
75,Enktermorsweg,bus_stop,6.9026710,52.3930571,POINT (6.902671 52.3930571)
76,Enktermorsweg,bus_stop,6.9026774,52.3936056,POINT (6.9026774 52.3936056)
77,Groot Agelo,bus_stop,6.9010309,52.3868303,POINT (6.9010309 52.3868303)
78,Groot Agelo,bus_stop,6.9007859,52.3862959,POINT (6.9007859 52.3862959)
79,Bruno van Ommenstraat,bus_stop,6.7845587,52.4098227,POINT (6.7845587 52.4098227)
80,'t Laantje,bus_stop,6.9094616,52.3699876,POINT (6.9094616 52.3699876)
81,'t Laantje,bus_stop,6.9096027,52.3695527,POINT (6.9096027 52.3695527)
82,Spinnerplein,bus_stop,6.8777444,52.2102424,POINT (6.8777444 52.2102424)
83,Getfertsingel,bus_stop,6.8801256,52.2115684,POINT (6.8801256 52.2115684)
84,Veldkampstraat,bus_stop,6.8856041,52.2136027,POINT (6.8856041 52.2136027)
85,van Heekplein,bus_stop,6.8952108,52.2177371,POINT (6.8952108 52.2177371)
86,Achterhoek,bus_stop,6.7850059,52.2800742,POINT (6.7850059 52.2800742)
87,Achterhoek,bus_stop,6.7850729,52.2799330,POINT (6.7850729 52.279933)
88,Hazenweg,bus_stop,6.7817825,52.2863988,POINT (6.7817825 52.2863988)
89,Hazenweg,bus_stop,6.7816019,52.2862587,POINT (6.7816019 52.2862587)
90,Thiemsbrug,bus_stop,6.7911037,52.2669205,POINT (6.7911037 52.2669205)
91,Helmerstraat,bus_stop,6.8300880,52.1976733,POINT (6.830088 52.1976733)
92,'t Schar,bus_stop,6.1302388,52.7937841,POINT (6.1302388 52.7937841)
93,'t Schar,bus_stop,6.1305259,52.7936347,POINT (6.1305259 52.7936347)
94,Bultweg,bus_stop,6.1347044,52.8117002,POINT (6.1347044 52.8117002)
95,Oostermeenthe,bus_stop,6.1225730,52.7935635,POINT (6.122573 52.7935635)
96,Oostermeenthe,bus_stop,6.1234357,52.7948262,POINT (6.1234357 52.7948262)
97,Westercluft,bus_stop,6.1252698,52.7941388,POINT (6.1252698 52.7941388)
98,Westercluft,bus_stop,6.1252663,52.7942445,POINT (6.1252663 52.7942445)
99,Hooilanden,bus_stop,6.1272874,52.8029042,POINT (6.1272874 52.8029042)
100,Gemeentehuis,bus_stop,6.1160899,52.7818268,POINT (6.1160899 52.7818268)
101,Gemeentehuis,bus_stop,6.1163506,52.7820033,POINT (6.1163506 52.7820033)
102,Zuidveen,bus_stop,6.1114637,52.7794620,POINT (6.1114637 52.779462)
103,Krabbenbosplein,bus_stop,6.7688447,52.2591913,POINT (6.7688447 52.2591913)
104,UT/Langenkampweg,bus_stop,6.8511101,52.2496916,POINT (6.8511101 52.2496916)
105,Groot Verlaat,bus_stop,6.0950786,52.7754297,POINT (6.0950786 52.7754297)
106,Het Engelse Werk,bus_stop,6.0622744,52.4985404,POINT (6.0622744 52.4985404)
107,Oranje Nassaulaan,bus_stop,6.0761439,52.5053973,POINT (6.0761439 52.5053973)
108,Oranje Nassaulaan,bus_stop,6.0778514,52.5058289,POINT (6.0778514 52.5058289)
109,Koningin Wilhelminastraat,bus_stop,6.0812027,52.5072292,POINT (6.0812027 52.5072292)
110,Koningin Wilhelminastraat,bus_stop,6.0797972,52.5068325,POINT (6.0797972 52.5068325)
111,Cultureel Centrum,bus_stop,6.1609530,52.2553745,POINT (6.160953 52.2553745)
112,Vermeerstraat,bus_stop,6.1382885,52.2649444,POINT (6.1382885 52.2649444)
113,Vermeerstraat,bus_stop,6.1386603,52.2651091,POINT (6.1386603 52.2651091)
114,Hooilanden,bus_stop,6.1272842,52.8025174,POINT (6.1272842 52.8025174)
115,Bultweg,bus_stop,6.1360094,52.8128488,POINT (6.1360094 52.8128488)
116,De Eese,bus_stop,6.1415272,52.8229277,POINT (6.1415272 52.8229277)
117,De Eese,bus_stop,6.1420710,52.8232862,POINT (6.142071 52.8232862)
118,Gierwal,bus_stop,6.1455808,52.8269413,POINT (6.1455808 52.8269413)
119,Gierwal,bus_stop,6.1470300,52.8275730,POINT (6.14703 52.827573)
120,Paalmaatsdijk,bus_stop,6.9152202,52.3638400,POINT (6.9152202 52.36384)
121,Paalmaatsdijk,bus_stop,6.9153656,52.3635146,POINT (6.9153656 52.3635146)
122,Steenmeijerstraat,bus_stop,6.7757408,52.2685526,POINT (6.7757408 52.2685526)
123,Pasteurstraat,bus_stop,6.7699258,52.2689763,POINT (6.7699258 52.2689763)
124,Z.G.T. Hoofdingang,bus_stop,6.7693501,52.2625856,POINT (6.7693501 52.2625856)
125,Narcisstraat,bus_stop,6.7744088,52.2627481,POINT (6.7744088 52.2627481)
126,Borgbos,bus_stop,6.8606352,52.2055849,POINT (6.8606352 52.2055849)
127,Lansinkstraat,bus_stop,6.7358124,52.1524292,POINT (6.7358124 52.1524292)
128,Scholtenhage,bus_stop,6.7306741,52.1513030,POINT (6.7306741 52.151303)
129,Vloedsteegweg,bus_stop,6.6811259,52.1333700,POINT (6.6811259 52.13337)
130,Borgbos,bus_stop,6.8588439,52.2053855,POINT (6.8588439 52.2053855)
131,Busstation,bus_stop,6.6189309,52.4592985,POINT (6.6189309 52.4592985)
132,Varsenerdijk,bus_stop,6.4002186,52.5230616,POINT (6.4002186 52.5230616)
133,Varsenerdijk,bus_stop,6.3999036,52.5232677,POINT (6.3999036 52.5232677)
134,Danteweg,bus_stop,6.4128202,52.5209036,POINT (6.4128202 52.5209036)
135,Danteweg,bus_stop,6.4130586,52.5211275,POINT (6.4130586 52.5211275)
136,Weth. Petterweg,bus_stop,6.4048685,52.5454138,POINT (6.4048685 52.5454138)
137,Weth. Petterweg,bus_stop,6.4050259,52.5449956,POINT (6.4050259 52.5449956)
138,Emslandweg,bus_stop,6.4090774,52.5373906,POINT (6.4090774 52.5373906)
139,Emslandweg,bus_stop,6.4089916,52.5372935,POINT (6.4089916 52.5372935)
140,Tussenweg,bus_stop,6.4066610,52.5424209,POINT (6.406661 52.5424209)
141,Tussenweg,bus_stop,6.4066385,52.5421742,POINT (6.4066385 52.5421742)
142,De Haar,bus_stop,6.3976142,52.5558246,POINT (6.3976142 52.5558246)
143,De Haar,bus_stop,6.3978648,52.5552531,POINT (6.3978648 52.5552531)
144,Markt,bus_stop,6.4190182,52.5192299,POINT (6.4190182 52.5192299)
145,Chevalleraustraat,bus_stop,6.4209422,52.5248709,POINT (6.4209422 52.5248709)
146,Chevalleraustraat,bus_stop,6.4213082,52.5247955,POINT (6.4213082 52.5247955)
147,Tolhuisweg,bus_stop,6.3957620,52.5617523,POINT (6.395762 52.5617523)
148,Tolhuisweg,bus_stop,6.3959670,52.5617761,POINT (6.395967 52.5617761)
149,Maatschappij Wijk,bus_stop,6.3947265,52.5714164,POINT (6.3947265 52.5714164)
150,Maatschappij Wijk,bus_stop,6.3945734,52.5712696,POINT (6.3945734 52.5712696)
151,Ommerschans,bus_stop,6.3920912,52.5880102,POINT (6.3920912 52.5880102)
152,Ommerschans,bus_stop,6.3920503,52.5878237,POINT (6.3920503 52.5878237)
153,Rijksinstituut Veldzicht,bus_stop,6.3919803,52.5949846,POINT (6.3919803 52.5949846)
154,Rijksinstituut Veldzicht,bus_stop,6.3920686,52.5952296,POINT (6.3920686 52.5952296)
155,Centrum,bus_stop,6.3903239,52.6007470,POINT (6.3903239 52.600747)
156,Centrum,bus_stop,6.3912743,52.6012033,POINT (6.3912743 52.6012033)
157,Centrum,bus_stop,6.3923070,52.6007472,POINT (6.392307 52.6007472)
158,Centrum,bus_stop,6.3914943,52.6012615,POINT (6.3914943 52.6012615)
159,Woestenweg,bus_stop,6.3951517,52.5759643,POINT (6.3951517 52.5759643)
160,Woestenweg,bus_stop,6.3952735,52.5762581,POINT (6.3952735 52.5762581)
161,Koloniedijk,bus_stop,6.3949721,52.5834230,POINT (6.3949721 52.583423)
162,Koloniedijk,bus_stop,6.3948337,52.5832988,POINT (6.3948337 52.5832988)
163,Wolter ter Haarstraat,bus_stop,6.3928866,52.6030256,POINT (6.3928866 52.6030256)
164,Wolter ter Haarstraat,bus_stop,6.3930888,52.6029826,POINT (6.3930888 52.6029826)
165,Den Kaat 7,bus_stop,6.3990243,52.6146776,POINT (6.3990243 52.6146776)
166,Den Kaat 7,bus_stop,6.3998634,52.6147521,POINT (6.3998634 52.6147521)
167,Weg naar Oosterhuis,bus_stop,6.4103222,52.6170930,POINT (6.4103222 52.617093)
168,Weg naar Oosterhuis,bus_stop,6.4100097,52.6170695,POINT (6.4100097 52.6170695)
169,Kallenkoterallee,bus_stop,6.1321030,52.7853892,POINT (6.132103 52.7853892)
170,Kallenkoterallee,bus_stop,6.1323826,52.7852238,POINT (6.1323826 52.7852238)
171,Bedelaarspad,bus_stop,6.1495183,52.7796819,POINT (6.1495183 52.7796819)
172,Bedelaarspad,bus_stop,6.1482362,52.7799061,POINT (6.1482362 52.7799061)
173,Onnaseveld,bus_stop,6.1625026,52.7759932,POINT (6.1625026 52.7759932)
174,Onnaseveld,bus_stop,6.1619776,52.7762184,POINT (6.1619776 52.7762184)
175,Rotonde,bus_stop,6.1682149,52.7746770,POINT (6.1682149 52.774677)
176,Rotonde,bus_stop,6.1677913,52.7748092,POINT (6.1677913 52.7748092)
177,Nijverheidstraat,bus_stop,6.1537492,52.2594218,POINT (6.1537492 52.2594218)
178,Zandhuisweg,bus_stop,6.1394182,52.3761414,POINT (6.1394182 52.3761414)
179,Willem Witsenstraat,bus_stop,6.2186018,52.2639471,POINT (6.2186018 52.2639471)
180,Java,bus_stop,6.3147424,52.2664904,POINT (6.3147424 52.2664904)
181,Zonnenbergerdijk,bus_stop,6.2798214,52.3154436,POINT (6.2798214 52.3154436)
182,Saxion Hogeschool,bus_stop,6.1694048,52.2534275,POINT (6.1694048 52.2534275)
183,Boxbergerweg,bus_stop,6.2021807,52.3228919,POINT (6.2021807 52.3228919)
184,Koningsbergenstraat,bus_stop,6.2032673,52.2411770,POINT (6.2032673 52.241177)
185,Emmerweg,bus_stop,6.2332955,52.4982915,POINT (6.2332955 52.4982915)
186,Langedijk,bus_stop,6.1395593,52.3105182,POINT (6.1395593 52.3105182)
187,Zandbelterbrug,bus_stop,6.2335204,52.2874078,POINT (6.2335204 52.2874078)
188,Siemelinksweg,bus_stop,6.2031340,52.2469874,POINT (6.203134 52.2469874)
189,Radstakeweg,bus_stop,6.1457043,52.2623077,POINT (6.1457043 52.2623077)
190,Isala ziekenhuis,bus_stop,6.1247552,52.5140863,POINT (6.1247552 52.5140863)
191,Station,bus_stop,6.1127030,52.3357950,POINT (6.112703 52.335795)
192,Albertus van Leusenweg,bus_stop,6.2256467,52.2569892,POINT (6.2256467 52.2569892)
193,'t Reelaer,bus_stop,6.2463888,52.4204704,POINT (6.2463888 52.4204704)
194,Gemeentewerken,bus_stop,6.2879969,52.2522649,POINT (6.2879969 52.2522649)
195,Brug,bus_stop,6.1331744,52.4486377,POINT (6.1331744 52.4486377)
196,Jutten,bus_stop,6.3598551,52.5274671,POINT (6.3598551 52.5274671)
197,Crematorium,bus_stop,6.1809942,52.2811153,POINT (6.1809942 52.2811153)
198,Keulenstraat 2,bus_stop,6.1900728,52.2368300,POINT (6.1900728 52.23683)
199,Oudeweg,bus_stop,6.2282788,52.4970761,POINT (6.2282788 52.4970761)
200,Puinweg 1,bus_stop,6.1233459,52.3147752,POINT (6.1233459 52.3147752)
201,Heihoeve,bus_stop,6.2408689,52.2878089,POINT (6.2408689 52.2878089)
202,Dovenetel,bus_stop,6.2082070,52.2473047,POINT (6.208207 52.2473047)
203,Rijsterborgherweg,bus_stop,6.1500433,52.2582437,POINT (6.1500433 52.2582437)
204,Dokter Hengeveldweg,bus_stop,6.1272536,52.5111584,POINT (6.1272536 52.5111584)
205,Wethouder A.G. Dekkerlaan,bus_stop,6.1076694,52.3364125,POINT (6.1076694 52.3364125)
206,Cornelis Lelylaan,bus_stop,6.2126131,52.2604673,POINT (6.2126131 52.2604673)
207,Peelsbos,bus_stop,6.2583756,52.4079256,POINT (6.2583756 52.4079256)
208,Zuthemerweg,bus_stop,6.1317985,52.4641923,POINT (6.1317985 52.4641923)
209,Frieswijkerweg,bus_stop,6.1965729,52.2974460,POINT (6.1965729 52.297446)
210,Pleijendal,bus_stop,6.2541495,52.5061621,POINT (6.2541495 52.5061621)
211,Centrum,bus_stop,6.1453339,52.2901303,POINT (6.1453339 52.2901303)
212,Vegerinkskamp,bus_stop,6.2894234,52.2488831,POINT (6.2894234 52.2488831)
213,Garderegimentsweg,bus_stop,6.2037812,52.2752559,POINT (6.2037812 52.2752559)
214,Runshoppingcentre,bus_stop,6.1988533,52.2464281,POINT (6.1988533 52.2464281)
215,Vukking,bus_stop,6.3911463,52.2799599,POINT (6.3911463 52.2799599)
216,Rubensstraat,bus_stop,6.1314300,52.2649160,POINT (6.13143 52.264916)
217,Klapvoortweg,bus_stop,6.2271970,52.4932878,POINT (6.227197 52.4932878)
218,Winkelcentrum Keizerslanden,bus_stop,6.1660262,52.2690938,POINT (6.1660262 52.2690938)
219,De Gunne,bus_stop,6.2190691,52.4527911,POINT (6.2190691 52.4527911)
220,Spikker,bus_stop,6.2224957,52.2847010,POINT (6.2224957 52.284701)
221,Oprit Dijk,bus_stop,6.1428548,52.4141239,POINT (6.1428548 52.4141239)
222,Snippeling,bus_stop,6.1923545,52.2511165,POINT (6.1923545 52.2511165)
223,Dwarsweg,bus_stop,6.3181057,52.4480795,POINT (6.3181057 52.4480795)
224,IJssel de Schepperstraat,bus_stop,6.1618896,52.2625800,POINT (6.1618896 52.26258)
225,Station,bus_stop,6.2780998,52.3908836,POINT (6.2780998 52.3908836)
226,Zamenhofplein,bus_stop,6.1425855,52.2669550,POINT (6.1425855 52.266955)
227,Oxersteeg,bus_stop,6.2154701,52.2447562,POINT (6.2154701 52.2447562)
228,Beestenmarkt,bus_stop,6.1644744,52.2565173,POINT (6.1644744 52.2565173)
229,Jonkman,bus_stop,6.2284377,52.4457716,POINT (6.2284377 52.4457716)
230,Polakstraat,bus_stop,6.2807262,52.2478055,POINT (6.2807262 52.2478055)
231,Peppelerdijk,bus_stop,6.2629296,52.2487530,POINT (6.2629296 52.248753)
232,Prins Bernhardweg,bus_stop,6.1895893,52.2679227,POINT (6.1895893 52.2679227)
233,Raalterweg,bus_stop,6.1320010,52.3852053,POINT (6.132001 52.3852053)
234,Douwelerwetering,bus_stop,6.1891573,52.2547646,POINT (6.1891573 52.2547646)
235,Aaltinksweg,bus_stop,6.4063141,52.2820443,POINT (6.4063141 52.2820443)
236,Dapperstraat,bus_stop,6.1667344,52.2645435,POINT (6.1667344 52.2645435)
237,De Trefkoele,bus_stop,6.2523471,52.5102544,POINT (6.2523471 52.5102544)
238,Havezatelaan,bus_stop,6.1519931,52.2779305,POINT (6.1519931 52.2779305)
239,Wagenvoorde,bus_stop,6.3353456,52.2706805,POINT (6.3353456 52.2706805)
240,Sportveldenlaan,bus_stop,6.1344365,52.2666652,POINT (6.1344365 52.2666652)
241,Amstellaan,bus_stop,6.1784706,52.2534794,POINT (6.1784706 52.2534794)
242,Beugelskamp,bus_stop,6.1500286,52.2759362,POINT (6.1500286 52.2759362)
243,De Jong,bus_stop,6.2109836,52.4598887,POINT (6.2109836 52.4598887)
244,'t Dijkhuis,bus_stop,6.2840334,52.2479062,POINT (6.2840334 52.2479062)
245,Kerkweg,bus_stop,6.1948067,52.2690944,POINT (6.1948067 52.2690944)
246,Scholengemeenschap,bus_stop,6.4154634,52.2815205,POINT (6.4154634 52.2815205)
247,Slangenburg,bus_stop,6.2109692,52.2535500,POINT (6.2109692 52.25355)
248,De Haarstraat,bus_stop,6.2382257,52.4384345,POINT (6.2382257 52.4384345)
249,Groot Wezenland,bus_stop,6.0990298,52.5100210,POINT (6.0990298 52.510021)
250,Winkelcentrum Colmschate,bus_stop,6.2159604,52.2470696,POINT (6.2159604 52.2470696)
251,Wolfkamp,bus_stop,6.3157727,52.5312800,POINT (6.3157727 52.53128)
252,Westdorplaan,bus_stop,6.2725425,52.3835907,POINT (6.2725425 52.3835907)
253,Hoenlo,bus_stop,6.1233697,52.3247942,POINT (6.1233697 52.3247942)
254,Teugseplein,bus_stop,6.1698786,52.2498901,POINT (6.1698786 52.2498901)
255,Thomas Wildey,bus_stop,6.1451349,52.2742426,POINT (6.1451349 52.2742426)
256,De Marslanden,bus_stop,6.1396857,52.4950208,POINT (6.1396857 52.4950208)
257,Bezoekerscentrum,bus_stop,6.1122917,52.3622755,POINT (6.1122917 52.3622755)
258,Diessenplas,bus_stop,6.4151043,52.2787730,POINT (6.4151043 52.278773)
259,Dumbarstraat,bus_stop,6.2678769,52.3816976,POINT (6.2678769 52.3816976)
260,Nieuwe Deventerweg/ KWS,bus_stop,6.1153875,52.4841052,POINT (6.1153875 52.4841052)
261,Merel,bus_stop,6.2876306,52.3907977,POINT (6.2876306 52.3907977)
262,Oude Molen,bus_stop,6.2880187,52.2604088,POINT (6.2880187 52.2604088)
263,Jan Hooglandstraat,bus_stop,6.1166702,52.3361635,POINT (6.1166702 52.3361635)
264,Het Vlier,bus_stop,6.1489038,52.2770681,POINT (6.1489038 52.2770681)
265,De Enk,bus_stop,6.1291766,52.3793039,POINT (6.1291766 52.3793039)
266,Van der Capellenweg,bus_stop,6.2345366,52.4406519,POINT (6.2345366 52.4406519)
267,Oldeneelallee,bus_stop,6.1266512,52.4918227,POINT (6.1266512 52.4918227)
268,Pauluskerk,bus_stop,6.2713773,52.3797659,POINT (6.2713773 52.3797659)
269,Overweg NS,bus_stop,6.2482178,52.5007008,POINT (6.2482178 52.5007008)
270,Randerstraat,bus_stop,6.1419321,52.3032297,POINT (6.1419321 52.3032297)
271,Fonteinkruid,bus_stop,6.2135990,52.2477452,POINT (6.213599 52.2477452)
272,Herenweg,bus_stop,6.1187273,52.5097871,POINT (6.1187273 52.5097871)
273,Holstweg,bus_stop,6.1093277,52.3584735,POINT (6.1093277 52.3584735)
274,Fesevurstraat,bus_stop,6.1722987,52.2617339,POINT (6.1722987 52.2617339)
275,Wolfkamp,bus_stop,6.2424296,52.4290573,POINT (6.2424296 52.4290573)
276,Herxerenk,bus_stop,6.1410613,52.4353034,POINT (6.1410613 52.4353034)
277,Saxion Hogeschool,bus_stop,6.1668245,52.2542880,POINT (6.1668245 52.254288)
278,Begraafplaats,bus_stop,6.1775045,52.2734620,POINT (6.1775045 52.273462)
279,J. Naberstraat,bus_stop,6.2247813,52.2426117,POINT (6.2247813 52.2426117)
280,Emmerweg,bus_stop,6.2319161,52.4978633,POINT (6.2319161 52.4978633)
281,Baerselmansweg,bus_stop,6.1449487,52.2971130,POINT (6.1449487 52.297113)
282,Schipbeeksweg,bus_stop,6.2926186,52.2499758,POINT (6.2926186 52.2499758)
283,Westenberg,bus_stop,6.1982406,52.2727406,POINT (6.1982406 52.2727406)
284,Marsweg,bus_stop,6.2203422,52.4860253,POINT (6.2203422 52.4860253)
285,Munsterstraat,bus_stop,6.1887331,52.2417177,POINT (6.1887331 52.2417177)
286,de Bekkumer,bus_stop,6.1814304,52.2606661,POINT (6.1814304 52.2606661)
287,'t Reelaer,bus_stop,6.2458887,52.4213876,POINT (6.2458887 52.4213876)
288,Overweg NS,bus_stop,6.1452288,52.4189785,POINT (6.1452288 52.4189785)
289,Deltaplein,bus_stop,6.1855156,52.2554392,POINT (6.1855156 52.2554392)
290,Crematorium,bus_stop,6.1810115,52.2814785,POINT (6.1810115 52.2814785)
291,Molenveldsweg,bus_stop,6.1438147,52.2998181,POINT (6.1438147 52.2998181)
292,Looweg/Kuiperij,bus_stop,6.2907456,52.2513755,POINT (6.2907456 52.2513755)
293,Erasmusstraat,bus_stop,6.1441627,52.2657592,POINT (6.1441627 52.2657592)
294,Molenhoek,bus_stop,6.2014445,52.4810022,POINT (6.2014445 52.4810022)
295,Keulenstraat 1,bus_stop,6.1877030,52.2388572,POINT (6.187703 52.2388572)
296,Balderikstraat,bus_stop,6.1630023,52.2703671,POINT (6.1630023 52.2703671)
297,Klaproos,bus_stop,6.2393721,52.4328683,POINT (6.2393721 52.4328683)
298,Herxen,bus_stop,6.1446790,52.4281782,POINT (6.144679 52.4281782)
299,De Knoop,bus_stop,6.2021803,52.2495259,POINT (6.2021803 52.2495259)
300,Doktersbrug,bus_stop,6.3038013,52.4505409,POINT (6.3038013 52.4505409)
301,Wezenland,bus_stop,6.1754182,52.2684519,POINT (6.1754182 52.2684519)
302,Bontekamp,bus_stop,6.2594218,52.5200800,POINT (6.2594218 52.52008)
303,Schurenstraat,bus_stop,6.1553488,52.2601061,POINT (6.1553488 52.2601061)
304,Joost van de Vondellaan,bus_stop,6.1396775,52.2697232,POINT (6.1396775 52.2697232)
305,Beeckestein,bus_stop,6.1567258,52.2705733,POINT (6.1567258 52.2705733)
306,Vegerinkskamp,bus_stop,6.2891606,52.2486776,POINT (6.2891606 52.2486776)
307,Peperkamp,bus_stop,6.1403367,52.3837287,POINT (6.1403367 52.3837287)
